         4210327 function calls (4155037 primitive calls) in 4.256 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       42    0.873    0.021    0.876    0.021 {built-in method _operator.getitem}
     1676    0.189    0.000    0.189    0.000 {built-in method marshal.loads}
    32054    0.182    0.000    0.309    0.000 inspect.py:626(cleandoc)
      416    0.176    0.000    0.176    0.000 {built-in method posix.listdir}
      250    0.170    0.001    0.172    0.001 file_manager.py:195(_acquire_with_cache_info)
     1733    0.166    0.000    0.166    0.000 {method 'read' of '_io.BufferedReader' objects}
      194    0.088    0.000    0.091    0.000 {built-in method io.open}
5436/5277    0.060    0.000    0.915    0.000 {built-in method builtins.__build_class__}
    10324    0.049    0.000    0.051    0.000 {built-in method posix.stat}
     9418    0.047    0.000    0.120    0.000 inspect.py:2152(_signature_from_function)
3363/3352    0.043    0.000    0.081    0.000 ffi.py:149(__call__)
606100/600537    0.039    0.000    0.041    0.000 {built-in method builtins.len}
   225608    0.035    0.000    0.035    0.000 {built-in method builtins.min}
     1314    0.035    0.000    0.035    0.000 clouds.py:60(<listcomp>)
7899/7898    0.035    0.000    0.035    0.000 {built-in method __new__ of type object at 0xaee2c0}
      609    0.034    0.000    0.034    0.000 {built-in method builtins.compile}
2988/2344    0.034    0.000    0.925    0.000 {built-in method numpy.asarray}
 3470/428    0.033    0.000    0.093    0.000 sre_parse.py:493(_parse)
      587    0.033    0.000    0.033    0.000 base.py:42(__init__)
288688/288606    0.033    0.000    0.037    0.000 {built-in method builtins.isinstance}
  174/173    0.032    0.000    0.033    0.000 {built-in method _imp.create_dynamic}
     3701    0.031    0.000    0.121    0.000 <frozen importlib._bootstrap_external>:1505(find_spec)
10073/9530    0.031    0.000    0.176    0.000 inspect.py:2246(_signature_from_callable)
     3625    0.030    0.000    0.034    0.000 <frozen importlib._bootstrap>:166(_get_module_lock)
   117224    0.026    0.000    0.030    0.000 {built-in method builtins.getattr}
   319985    0.026    0.000    0.026    0.000 {method 'lstrip' of 'str' objects}
    26469    0.025    0.000    0.044    0.000 inspect.py:2498(__init__)
      635    0.025    0.000    0.025    0.000 {built-in method builtins.dir}
    40908    0.023    0.000    0.023    0.000 {method 'expandtabs' of 'str' objects}
72020/72002    0.023    0.000    0.026    0.000 {method 'join' of 'str' objects}
      216    0.022    0.000    0.311    0.001 artist.py:1422(get_setters)
   2227/1    0.022    0.000    4.258    4.258 {built-in method builtins.exec}
     1676    0.021    0.000    0.021    0.000 {built-in method io.open_code}
   180090    0.021    0.000    0.021    0.000 {method 'startswith' of 'str' objects}
     1821    0.021    0.000    0.025    0.000 functools.py:35(update_wrapper)
      381    0.020    0.000    0.053    0.000 doccer.py:10(docformat)
      660    0.020    0.000    0.020    0.000 clouds.py:72(<listcomp>)
    10028    0.020    0.000    0.031    0.000 inspect.py:2781(__init__)
    40047    0.019    0.000    0.019    0.000 {method 'split' of 'str' objects}
    33104    0.019    0.000    0.331    0.000 inspect.py:607(getdoc)
 4698/407    0.017    0.000    0.046    0.000 sre_compile.py:71(_compile)
     2096    0.017    0.000    0.169    0.000 <frozen importlib._bootstrap>:901(_find_spec)
   232627    0.017    0.000    0.017    0.000 {method 'append' of 'list' objects}
    10541    0.016    0.000    0.016    0.000 {method 'search' of 're.Pattern' objects}
  174/139    0.015    0.000    0.047    0.000 {built-in method _imp.exec_dynamic}
      764    0.015    0.000    0.017    0.000 sre_compile.py:276(_optimize_charset)
    20355    0.014    0.000    0.039    0.000 <frozen importlib._bootstrap_external>:121(_path_join)
      100    0.014    0.000    0.014    0.000 clouds.py:130(<listcomp>)
    20355    0.014    0.000    0.019    0.000 <frozen importlib._bootstrap_external>:123(<listcomp>)
     1723    0.014    0.000    0.014    0.000 {method 'sub' of 're.Pattern' objects}
    27386    0.013    0.000    0.289    0.000 artist.py:1441(is_alias)
8306/5521    0.012    0.000    0.072    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
     1676    0.012    0.000    0.286    0.000 <frozen importlib._bootstrap_external>:916(get_code)
    27372    0.011    0.000    0.019    0.000 enum.py:358(__call__)
    39557    0.011    0.000    0.011    0.000 sre_parse.py:233(__next)
      111    0.011    0.000    0.227    0.002 clouds.py:46(_detect_clouds_from_rcs)
      216    0.011    0.000    0.217    0.001 artist.py:1347(get_aliases)
      617    0.011    0.000    0.011    0.000 {method 'findall' of 're.Pattern' objects}
    47341    0.010    0.000    0.015    0.000 sre_parse.py:164(__getitem__)
     1420    0.010    0.000    0.010    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     3352    0.010    0.000    0.029    0.000 <frozen importlib._bootstrap_external>:361(cache_from_source)
